,AllTasks,RdfConnectionExplainStatic,RdfFriendCount-1,RdfFriendCount-2,RdfSyntaxFixList,Sparql2AnswerListOrga,Text2AnswerListOrga
All Models,,-,**JSON**,**JSON**,**JSON**,TTL,**TTL**
Claude 3.5 Haiku,**TTL**,**JSON**,**TTL**,**TTL**,-,-,-
Claude 3.5 Sonnet,-,-,-,-,-,-,-
Deepseek-Chat-v3,-,**JSON**,**TTL**,-,-,JSON,**JSON**
Deepseek-Coder-33B,JSON,-,**JSON**,**JSON**,**JSON**,-,-
Deepseek-R1,-,-,-,-,-,-,-
GPT3.5 2024/01,-,-,JSON,**JSON**,-,-,**TTL**
GPT4o 2024/11,-,-,-,-,JSON,-,-
GPT4o-mini 2024/07,**TTL**,-,-,TTL,-,-,**TTL**
GPTo1-mini 2024/09,-,-,-,-,-,-,-
GPTo1-pre 2024/09,-,-,-,-,-,-,-
Gemini 1.5 Flash,**TTL**,-,**TTL**,-,-,-,-
Gemini 1.5 Pro,-,-,-,-,-,-,-
Gemini 2.0 Flash Exp,-,-,-,-,-,-,-
Llama-3.0-70B,**JSON**,-,**JSON**,**JSON**,**JSON**,-,-
Llama-3.0-8B,-,**TTL**,-,-,-,-,-
Llama-3.1-70B,-,-,-,-,**JSON**,**TTL**,-
Llama-3.1-8B,**JSON**,-,**JSON**,**JSON**,JSON,-,-
Llama-3.2-1B,**JSON**,-,-,-,**JSON**,-,-
Llama-3.2-3B,-,**JSON**,**TTL**,**TTL**,**JSON**,-,-
Llama-3.3-70B,**JSON**,-,**JSON**,**JSON**,**JSON**,-,-
Llama-4-Maverick,**JSON**,-,**JSON**,**JSON**,-,-,-
OpenCoder-8B,-,-,-,-,-,TTL,-
Phi-3.0-medium-128k,**TTL**,**TTL**,-,JSON,-,-,TTL
Phi-3.0-mini-128k,-,-,-,**JSON**,**JSON**,-,-
Phi-3.0-small-128k,-,**JSON**,-,-,TTL,-,-
Phi-3.5-MoE,**JSON**,-,**JSON**,**JSON**,**JSON**,**TTL**,-
Phi-3.5-mini,-,**TTL**,JSON,-,**JSON**,**TTL**,-
Qwen-2.0-0.5B,-,-,-,JSON,-,-,-
Qwen-2.0-1.5B,**JSON**,**TTL**,**JSON**,**JSON**,**JSON**,-,-
Qwen-2.0-57B-A14B,TTL,-,-,-,**JSON**,TTL,**TTL**
Qwen-2.0-72B,-,-,-,-,**JSON**,-,-
Qwen-2.0-7B,-,**JSON**,-,-,-,-,TTL
Qwen-2.5-0.5B,-,-,-,-,-,-,-
Qwen-2.5-1.5B,-,-,-,-,**JSON**,-,-
Qwen-2.5-14B,-,**TTL**,-,-,-,-,TTL
Qwen-2.5-32B,TTL,-,**TTL**,**TTL**,**JSON**,**JSON**,-
Qwen-2.5-3B,-,**JSON**,-,-,**JSON**,-,-
Qwen-2.5-72B,-,**JSON**,JSON,**JSON**,-,-,**TTL**
Qwen-2.5-7B,**TTL**,**JSON**,-,-,-,**TTL**,**TTL**
Qwen-2.5-Coder-32B,**TTL**,-,**TTL**,**TTL**,-,-,-
Qwen-3-235B,-,-,-,-,-,-,-
